R	53.3816	-6.37149	D921	08 Feb 2025	D921\n16:17 - Dublin Connolly to Maynooth (1 mins late)\nArrived Castleknock next stop Coolmine	Northbound
R	53.3909	-6.15672	P720	08 Feb 2025	P720\n15:48 - Drogheda to Dublin Connolly (2 mins late)\nDeparted Howth Junction next stop Dublin Connolly	Southbound
R	53.392	-6.11448	E918	08 Feb 2025	E918\n15:27 - Bray to Howth (2 mins late)\nDeparted Sutton next stop Howth	Northbound
R	53.4169	-6.1512	D818	08 Feb 2025	D818\n16:18 - Dublin Connolly to Drogheda (0 mins late)\nArrived Portmarnock next stop Malahide	Northbound
R	53.4509	-6.15649	E230	08 Feb 2025	E230\n16:33 - Malahide to Bray (3 mins late)\nDeparted Malahide next stop Portmarnock	Southbound
R	53.4855	-6.15134	P721	08 Feb 2025	P721\n16:05 - Drogheda to Dublin Connolly (1 mins late)\nDeparted Donabate next stop Malahide	Southbound
R	53.523	-7.34608	A908	08 Feb 2025	A908\n15:05 - Dublin Connolly to Sligo (5 mins late)\nDeparted Mullingar next stop Edgeworthstown	Northbound
R	53.5741	-6.11933	D817	08 Feb 2025	D817\n15:55 - Dublin Connolly to Drogheda (2 mins late)\nDeparted Skerries next stop Balbriggan	Northbound
R	53.6888	-7.60299	A911	08 Feb 2025	A911\n15:05 - Sligo to Dublin Connolly (0 mins late)\nArrived Edgeworthstown next stop Mullingar	Southbound
R	53.712	-6.33538	A119	08 Feb 2025	A119\n15:00 - Belfast to Dublin Connolly (1 mins late)\nArrived Drogheda next stop Dublin Connolly	Southbound
R	53.712	-6.33538	A120	08 Feb 2025	A120\n15:50 - Dublin Connolly to Belfast (5 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	54.0007	-6.41291	A118	08 Feb 2025	A118\n14:50 - Dublin Connolly to Belfast (28 mins late)\nDeparted Dundalk next stop Newry	Northbound
T	53.0371	-7.30086	D216	08 Feb 2025	D216\n15:25 - Dublin Heuston to Portlaoise(-1 mins late)\nTERMINATED Portlaoise at 16:33	To Portlaoise
T	53.2043	-6.10046	E226	08 Feb 2025	E226\n15:19 - Howth to Bray(-2 mins late)\nTERMINATED Bray at 16:31	Southbound
T	53.3531	-6.24591	A613	08 Feb 2025	A613\n13:15 - Rosslare Europort to Dublin Connolly(15 mins late)\nTERMINATED Dublin Connolly at 16:34	Northbound
T	53.3531	-6.24591	P758	08 Feb 2025	P758\n15:50 - Maynooth to Dublin Connolly(1 mins late)\nTERMINATED Dublin Connolly at 16:35	Southbound
T	53.378	-6.58993	D920	08 Feb 2025	D920\n15:47 - Dublin Connolly to Maynooth(0 mins late)\nTERMINATED Maynooth at 16:29	Northbound
T	53.4509	-6.15649	E818	08 Feb 2025	E818\n15:12 - Bray to Malahide(8 mins late)\nTERMINATED Malahide at 16:32	Northbound
